feature,importance
feature_31,0.3617882377908901
feature_28,0.17708370062590875
feature_39,0.09188483782958687
feature_4,0.08136019978174129
feature_55,0.06482043411559504
feature_38,0.03138517455573208
feature_49,0.026535384686857837
feature_11,0.02580893368840502
feature_41,0.025426205644746732
feature_12,0.023280004546464655
feature_45,0.02165938839585928
feature_10,0.011948082119613028
feature_40,0.011287070415729806
feature_58,0.007955100377529
feature_36,0.00724895921250277
feature_8,0.006528213407896819
feature_32,0.005044565397192137
feature_50,0.003791055907122832
feature_37,0.0036944995449918147
feature_1,0.003381868907440667
feature_30,0.0025633022249932913
feature_42,0.0025292778812457057
feature_0,0.001208113526910231
feature_9,0.0009875128559245943
feature_6,0.0003235885824709864
feature_19,0.00023318952625036852
feature_43,0.0001281572766942372
feature_62,0.00011494117370388233
feature_16,4.280656591752904e-18
feature_29,5.817928897979887e-19
feature_60,4.0940981133932536e-19
feature_48,3.8492725941343944e-19
feature_15,2.2625279047699573e-19
feature_25,0.0
feature_26,0.0
feature_23,0.0
feature_20,0.0
feature_21,0.0
feature_22,0.0
feature_17,0.0
feature_18,0.0
feature_2,0.0
feature_3,0.0
feature_5,0.0
feature_7,0.0
feature_13,0.0
feature_14,0.0
feature_27,0.0
feature_24,0.0
feature_46,0.0
feature_35,0.0
feature_33,0.0
feature_44,0.0
feature_34,0.0
feature_47,0.0
feature_54,0.0
feature_53,0.0
feature_52,0.0
feature_51,0.0
feature_57,0.0
feature_56,0.0
feature_59,0.0
feature_61,0.0
