feature,importance
feature_31,0.2889743
feature_32,0.16457304
feature_20,0.16201001
feature_28,0.05484888
feature_12,0.029946571
feature_54,0.02855727
feature_27,0.025963088
feature_58,0.021821233
feature_48,0.01940998
feature_4,0.01756493
feature_40,0.01746861
feature_29,0.016315024
feature_45,0.015181995
feature_38,0.013032811
feature_39,0.01144195
feature_55,0.011229658
feature_14,0.009551207
feature_30,0.0072238133
feature_49,0.0071432623
feature_10,0.0065300665
feature_43,0.006452731
feature_11,0.0052139307
feature_44,0.004875807
feature_13,0.0048044496
feature_36,0.0045775482
feature_37,0.0044537056
feature_1,0.003910473
feature_35,0.0034549756
feature_2,0.003381471
feature_41,0.003325522
feature_19,0.0031608182
feature_9,0.0031287305
feature_59,0.0030390974
feature_33,0.0023106257
feature_8,0.0021740072
feature_42,0.0018369986
feature_34,0.0017529601
feature_6,0.0016544292
feature_0,0.0016068534
feature_16,0.001556885
feature_15,0.0009425293
feature_50,0.0009327847
feature_22,0.00074479706
feature_61,0.00067410414
feature_5,0.0005826132
feature_62,0.00043407115
feature_60,0.00019019553
feature_17,3.91921e-05
feature_24,0.0
feature_25,0.0
feature_26,0.0
feature_18,0.0
feature_21,0.0
feature_3,0.0
feature_7,0.0
feature_23,0.0
feature_46,0.0
feature_51,0.0
feature_47,0.0
feature_53,0.0
feature_52,0.0
feature_57,0.0
feature_56,0.0
