HasDescription,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfExternalRef,title_has_suspicious_words,title_has_numbers,title_word_count,title_char_count,title_exclamation_count,title_question_count,suspicious_score,label
0,0,1,1,0,1,0,0,1,34,20,28,119,124,0,1,14,487,0,0,1,1
0,1,1,0,0,0,0,0,1,50,9,8,39,217,0,0,3,37,0,0,0,1
1,0,1,1,0,0,0,0,1,10,2,7,42,5,0,0,3,20,0,0,0,1
0,1,1,1,0,0,1,1,1,3,27,15,22,31,0,0,8,51,0,0,12,1
1,1,1,1,0,1,1,0,1,244,15,34,72,85,0,1,3,30,0,0,2,1
1,1,0,1,0,0,0,0,1,35,1,11,86,14,0,0,3,10,0,0,1,1
0,1,0,1,0,0,0,0,1,32,4,14,44,17,0,1,1,1,0,0,4,1
1,1,1,0,0,0,0,0,1,24,2,22,36,15,0,0,2,11,0,0,1,1
1,1,1,1,1,0,0,0,1,71,4,9,40,317,0,0,14,99,0,0,0,1
1,1,0,0,0,0,0,0,1,10,1,12,173,65,0,0,1,4,0,0,2,1
1,1,1,0,0,0,1,0,1,80,13,10,376,9,0,1,7,45,0,0,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
1,0,1,1,1,1,0,0,1,16,9,13,92,18,0,0,8,57,0,0,1,1
0,1,0,0,0,0,0,0,0,16,4,7,4,14,0,1,1,1,0,0,5,1
0,1,1,1,0,0,1,0,1,63,12,22,156,184,0,0,9,58,0,0,2,1
0,0,1,0,0,0,0,0,1,12,14,19,2,14,0,1,1,1,0,0,0,1
0,1,1,0,0,0,0,0,1,56,10,16,235,254,0,0,3,13,0,0,0,1
1,1,1,1,0,1,0,0,1,52,10,27,0,143,0,0,1,7,0,0,2,1
1,1,1,1,1,1,1,0,1,259,14,33,168,90,0,0,1,8,0,0,21,1
1,0,0,0,0,1,1,0,0,21,0,2,2,1,0,0,9,50,0,0,0,1
