IsHTTPS,is_https,HasFavicon,has_favicon,Robots,is_responsive,domain_typo_indicators,has_robots_txt,has_description,form_complexity,external_resource_ratio,HasTitle,DomainTitleMatchScore,URLTitleMatchScore,label
1,1,0,0,1,1,0,1,0,2,0.510288066,1,0.0,0.0,1
1,1,1,1,1,0,0,1,0,1,0.84765625,1,55.55555556,55.55555556,1
1,1,0,0,1,1,0,1,1,2,0.106382979,1,46.66666667,46.66666667,1
1,1,0,0,1,1,0,1,0,2,0.58490566,1,0.0,0.0,1
1,1,0,0,1,1,0,1,1,2,0.541401274,1,100.0,100.0,1
1,1,0,0,0,1,0,0,1,1,0.14,1,0.0,0.0,1
1,1,1,1,0,1,0,0,0,1,0.278688525,1,0.0,0.0,1
1,1,1,1,0,1,0,0,1,1,0.294117647,1,100.0,100.0,1
1,1,0,0,1,1,0,1,1,3,0.887955182,1,100.0,100.0,1
1,1,1,1,1,1,0,1,1,0,0.273109244,1,0.0,0.0,1
1,1,1,1,1,1,0,1,1,1,0.023376623,1,55.55555556,55.55555556,1
0,0,0,0,0,0,0,0,0,0,1.0,0,0.0,0.0,0
1,1,1,1,0,0,0,0,1,3,0.163636364,1,50.0,50.0,1
1,1,1,1,0,1,0,0,0,0,0.777777778,1,0.0,0.0,1
1,1,1,1,1,1,0,1,0,2,0.541176471,1,100.0,100.0,1
1,1,1,1,0,1,0,0,0,1,0.875,1,0.0,0.0,1
1,1,0,0,1,1,0,1,0,1,0.519427403,1,100.0,100.0,1
1,1,0,0,1,1,0,1,1,2,1.0,1,100.0,100.0,1
1,1,1,1,0,1,0,0,1,3,0.348837209,1,0.0,0.0,1
1,1,1,1,0,1,0,0,1,0,0.333333333,1,80.0,80.0,1
0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0,0
1,1,1,1,0,1,0,0,1,1,0.26,1,0.0,0.0,1
1,1,0,0,1,1,0,1,1,0,0.132478632,1,100.0,100.0,1
1,1,1,1,0,0,0,0,1,2,0.777777778,1,0.0,0.0,1
1,1,0,0,0,1,0,0,0,0,0.666666667,1,100.0,100.0,1
1,1,1,1,0,1,0,0,1,0,0.425,1,100.0,100.0,1
1,1,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0
0,0,0,0,0,1,0,0,0,0,0.5,1,5.263157895,5.263157895,0
1,1,0,0,0,1,0,0,0,0,1.0,1,0.0,0.0,0
1,1,1,1,0,1,0,0,1,1,0.567307692,1,100.0,100.0,1
1,1,1,1,0,1,0,0,0,2,1.0,1,0.0,2.53164557,0
0,0,0,0,0,0,0,0,0,0,0.5,1,0.0,0.0,0
1,1,0,0,0,0,0,0,0,2,0.209677419,1,0.0,0.0,1
1,1,0,0,0,1,0,0,0,0,1.0,1,0.0,0.0,0
1,1,1,1,0,1,0,0,1,3,0.14375,1,0.0,0.0,1
1,1,0,0,0,1,0,0,1,2,0.088235294,1,0.0,0.0,1
0,0,0,0,0,0,0,0,0,0,0.5,1,0.0,0.0,0
