URLLength,DomainLength,TLD_known,CharContinuationRate,TLDLegitimateProb,URLCharProb,NoOfSubDomain,url_has_ip,url_has_shortener,url_suspicious_tld,url_dash_count,url_underscore_count,url_subdomain_count,url_path_depth,url_query_length,url_has_secure_words,url_has_banking_words,domain_entropy,domain_vowel_ratio,domain_digit_ratio,domain_has_brand_words,domain_consecutive_consonants,domain_typo_indicators,label
31,24,1,1,0.5229071,0.061933179,1,0,0,0,0,0,1,0,0,0,1,3.65726823,0.291666667,0,0,3,0,1
23,16,1,0.666666667,0.0326503,0.050207214,1,0,0,0,1,0,1,0,0,0,0,3.327819531,0.3125,0,0,3,0,1
29,22,1,0.866666667,0.028555,0.06412872,2,0,0,0,0,0,2,0,0,0,0,3.629219687,0.363636364,0,0,3,0,1
26,19,1,1,0.5229071,0.057605756,1,0,0,0,0,0,1,0,0,0,0,3.576617645,0.210526316,0,0,5,0,1
33,26,1,1,0.0799628,0.059441389,1,0,0,0,0,0,1,0,0,0,0,3.430457026,0.307692308,0,0,3,0,1
30,23,1,1,0.0799628,0.060614474,1,0,0,0,0,0,1,0,0,0,0,3.522711956,0.260869565,0,0,3,0,1
25,18,1,1,0.5229071,0.063549404,1,0,1,0,0,0,1,0,0,0,0,3.350209029,0.222222222,0,0,3,0,1
25,18,1,1,0.5229071,0.0604856,1,0,0,0,0,0,1,0,0,0,0,3.46132014,0.166666667,0,0,4,0,1
29,22,0,1,0.0050842,0.056980442,1,0,0,0,0,0,1,0,0,0,0,3.572623664,0.318181818,0,0,3,0,1
18,11,1,1,0.0799628,0.070497453,1,0,0,0,0,0,1,0,0,0,0,2.663532755,0.272727273,0,0,3,0,1
33,26,1,1,0.5229071,0.063946492,1,0,0,0,0,0,1,0,0,0,0,3.767183468,0.346153846,0,0,3,0,1
22,16,1,1,0.5229071,0.06741797,1,0,0,0,0,0,1,0,0,0,0,3.327819531,0.25,0,0,3,0,0
27,20,1,1,0.0799628,0.064491134,1,0,0,0,0,0,1,0,0,0,0,3.446439345,0.3,0,0,3,0,1
20,13,1,1,0.5229071,0.055131169,1,0,0,0,0,0,1,0,0,0,0,3.026986833,0.230769231,0.153846154,0,3,0,1
26,19,1,1,0.5229071,0.055714659,1,0,0,0,0,0,1,0,0,0,0,3.681880803,0.315789474,0,0,3,0,1
24,17,1,1,0.5229071,0.053754992,1,0,0,0,0,0,1,0,0,0,0,3.572469459,0.235294118,0,0,3,0,1
20,13,0,1,0.0015878,0.061203697,1,0,0,0,0,0,1,0,0,0,0,3.026986833,0.307692308,0,0,3,0,1
21,14,0,1,0.0022172,0.042916591,1,0,0,0,0,0,1,0,0,0,0,3.039148672,0.285714286,0,0,3,0,1
21,14,1,1,0.5229071,0.054492147,1,0,0,0,0,0,1,0,0,0,0,3.039148672,0.214285714,0,0,3,0,1
22,15,0,0.625,0.0050842,0.060958413,2,0,0,0,0,0,2,0,0,0,0,2.872905595,0.266666667,0,0,3,0,1
26,20,0,0.923076923,0.0180132,0.015061052,2,0,0,0,0,0,2,0,0,0,0,3.60869497,0.05,0.35,0,4,0,0
24,17,0,1,5.30E-05,0.042982074,1,0,0,0,0,0,1,0,0,0,0,3.4548224,0.117647059,0,0,4,0,0
28,21,1,1,0.5229071,0.066744309,1,0,0,0,0,0,1,0,0,0,0,3.332095399,0.238095238,0,0,5,0,1
29,22,0,1,0.0064109,0.068406052,1,0,0,0,0,0,1,0,0,0,0,3.322179346,0.454545455,0,0,3,0,1
33,26,0,0.631578947,0.0230451,0.054905556,3,0,0,0,0,0,3,0,0,0,0,3.594482507,0.230769231,0,0,3,0,1
25,18,1,1,0.5229071,0.062164929,1,0,0,0,0,0,1,0,0,0,0,3.281036113,0.222222222,0,0,3,0,1
36,29,0,1,9.54E-05,0.056798719,1,0,0,0,0,0,1,0,0,0,0,3.814371943,0.379310345,0,0,3,0,1
37,29,1,0.48,0.5229071,0.059401289,1,0,0,0,1,0,1,1,0,0,0,3.935398667,0.344827586,0,0,3,0,0
32,26,1,0.526315789,0.0326503,0.0452655,2,0,0,0,1,0,2,0,0,0,0,4.10390991,0.269230769,0.076923077,0,3,0,0
26,18,0,0.571428571,0.001502,0.032795326,1,0,0,0,1,0,1,1,0,0,0,3.725480557,0.277777778,0.222222222,0,2,0,0
21,14,1,1,0.5229071,0.063377153,1,0,0,0,0,0,1,0,0,0,0,3.182005815,0.214285714,0,0,3,0,1
91,7,0,1,0.0129268,0.041482802,0,0,0,0,0,0,1,2,24,0,0,2.521640636,0.428571429,0,0,3,0,0
