URLLength,DomainLength,TLD_known,CharContinuationRate,LetterRatioInURL,SpacialCharRatioInURL,NoOfSubDomain,IsHTTPS,HasObfuscation,ObfuscationRatio,url_has_ip,url_has_shortener,url_suspicious_tld,url_dash_count,url_underscore_count,url_subdomain_count,url_path_depth,url_query_length,domain_entropy,domain_vowel_ratio,domain_digit_ratio,domain_has_brand_words,domain_consecutive_consonants,domain_typo_indicators,title_has_suspicious_words,title_has_numbers,title_word_count,title_char_count,title_exclamation_count,title_question_count,has_robots_txt,has_description,is_https,has_favicon,is_responsive,url_has_secure_words,url_has_banking_words,form_complexity,external_resource_ratio,suspicious_score,label
42,19,1,0.047619047619047616,0.7857142857142857,0.07142857142857142,1,0,1,0.19047619047619047,0,0,0,1,0,1,1,12,3.8268748818646365,0.2631578947368421,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,24,1,0.07272727272727272,0.8181818181818182,0.01818181818181818,1,1,1,0.12727272727272726,0,0,0,3,0,1,2,0,3.772055208874201,0.20833333333333334,0.0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,26,1,0.11363636363636363,0.8409090909090909,0.022727272727272728,1,1,1,0.1590909090909091,0,0,0,0,0,2,1,0,3.902174814211728,0.3076923076923077,0.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
54,18,0,0.07407407407407407,0.8148148148148148,0.018518518518518517,2,1,1,0.16666666666666666,0,0,0,1,0,3,2,0,3.530493056757482,0.16666666666666666,0.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
141,15,1,0.0425531914893617,0.7943262411347518,0.028368794326241134,1,1,1,0.0851063829787234,0,0,0,2,1,1,5,13,2.973557262275185,0.3333333333333333,0.0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
40,15,1,0.1,0.8,0.025,1,1,0,0.175,0,0,0,1,0,1,2,0,2.9735572622751856,0.26666666666666666,0.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,5,0,0.1,0.65,0.05,0,1,1,0.25,0,0,0,0,0,0,1,0,2.321928094887362,0.2,0.0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
42,33,0,0.09523809523809523,0.8095238095238095,0.023809523809523808,2,1,1,0.16666666666666666,0,0,0,1,0,2,1,0,3.824252831282987,0.30303030303030304,0.0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
133,11,1,0.03007518796992481,0.6691729323308271,0.045112781954887216,0,1,1,0.14285714285714285,0,0,0,1,1,7,4,74,3.277613436819116,0.36363636363636365,0.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
51,15,1,0.09803921568627451,0.7647058823529411,0.0196078431372549,1,1,1,0.19607843137254902,0,1,0,0,0,2,4,0,3.0565647621309537,0.2,0.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,13,1,0.22727272727272727,0.7272727272727273,0.045454545454545456,1,1,0,0.2727272727272727,0,0,0,0,0,1,1,0,2.873140679513133,0.15384615384615385,0.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,27,0,0.19148936170212766,0.7021276595744681,0.02127659574468085,1,1,1,0.14893617021276595,0,0,0,0,0,2,1,0,3.6023165585055525,0.2962962962962963,0.25925925925925924,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
49,16,1,0.08163265306122448,0.8163265306122449,0.02040816326530612,1,1,1,0.1836734693877551,0,1,0,0,0,2,3,0,3.327819531114783,0.1875,0.0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
46,13,1,0.06521739130434782,0.8043478260869565,0.021739130434782608,0,1,1,0.17391304347826086,0,0,0,1,0,1,3,0,3.085055102756477,0.46153846153846156,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
31,17,0,0.12903225806451613,0.8387096774193549,0.03225806451612903,0,0,0,0.16129032258064516,0,0,0,0,0,0,1,0,3.4548223999466066,0.23529411764705882,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,22,0,0.0967741935483871,0.8064516129032258,0.03225806451612903,1,1,0,0.1935483870967742,0,0,0,0,0,1,1,0,3.568084324344714,0.36363636363636365,0.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
82,73,1,0.07317073170731707,0.45121951219512196,0.012195121951219513,3,1,1,0.0975609756097561,0,1,0,2,0,3,1,0,4.478949860392605,0.1232876712328767,0.4794520547945205,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
33,19,0,0.12121212121212122,0.7575757575757576,0.030303030303030304,1,1,1,0.21212121212121213,0,0,0,1,0,1,2,0,3.43162356584743,0.21052631578947367,0.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
74,29,1,0.02702702702702703,0.7837837837837838,0.02702702702702703,1,0,1,0.13513513513513514,0,0,0,0,0,2,4,0,3.8404025467025056,0.3448275862068966,0.10344827586206896,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
26,17,1,0.15384615384615385,0.7692307692307693,0.038461538461538464,1,1,0,0.23076923076923078,0,1,0,0,0,1,1,0,3.454822399946607,0.17647058823529413,0.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29,20,1,0.1724137931034483,0.7241379310344828,0.034482758620689655,2,1,1,0.2413793103448276,0,0,0,1,0,2,1,0,3.6464393446710153,0.25,0.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29,9,0,0.10344827586206896,0.8275862068965517,0.034482758620689655,0,1,1,0.1724137931034483,0,0,0,0,0,0,1,0,2.9477027792200903,0.3333333333333333,0.0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
59,18,1,0.05084745762711865,0.7627118644067796,0.01694915254237288,0,0,1,0.1694915254237288,0,0,0,1,0,1,5,0,3.2810361125534233,0.3888888888888889,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
34,25,1,0.11764705882352941,0.8235294117647058,0.029411764705882353,1,1,1,0.17647058823529413,0,0,0,0,0,1,1,0,3.6732696895151076,0.28,0.0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,17,0,0.14705882352941177,0.7352941176470589,0.029411764705882353,2,1,1,0.23529411764705882,0,0,0,1,0,2,2,0,3.4104172527605203,0.17647058823529413,0.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
59,20,1,0.06779661016949153,0.8305084745762712,0.01694915254237288,1,1,1,0.11864406779661017,0,0,0,3,0,1,2,0,3.4841837197791885,0.3,0.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,19,0,0.07407407407407407,0.8148148148148148,0.037037037037037035,1,1,0,0.18518518518518517,0,0,0,0,0,1,0,0,3.3263604079526936,0.3157894736842105,0.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
44,15,1,0.09090909090909091,0.7954545454545454,0.022727272727272728,1,1,1,0.20454545454545456,0,0,0,0,0,2,3,0,3.0565647621309537,0.26666666666666666,0.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,16,1,0.2,0.76,0.04,1,1,1,0.24,0,0,0,0,0,1,1,0,3.327819531114783,0.25,0.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,21,1,0.1,0.75,0.025,1,1,1,0.175,0,0,0,2,0,1,2,0,3.748994803525096,0.2857142857142857,0.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
67,59,1,0.05970149253731343,0.7313432835820896,0.014925373134328358,3,0,1,0.11940298507462686,0,1,0,2,0,3,1,0,4.666127159347987,0.11864406779661017,0.13559322033898305,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,17,0,0.08333333333333333,0.8166666666666667,0.016666666666666666,1,1,1,0.18333333333333332,0,0,0,0,0,2,5,0,3.454822399946607,0.29411764705882354,0.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
63,19,1,0.031746031746031744,0.8095238095238095,0.06349206349206349,0,1,1,0.1746031746031746,0,0,0,0,0,2,2,23,3.3263604079526936,0.3684210526315789,0.0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
22,6,0,0.09090909090909091,0.6818181818181818,0.045454545454545456,0,1,1,0.22727272727272727,0,1,0,0,0,0,1,0,2.584962500721156,0.16666666666666666,0.0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
35,12,1,0.11428571428571428,0.7714285714285715,0.02857142857142857,1,1,0,0.2,0,0,0,1,0,1,2,0,3.0220552088742,0.16666666666666666,0.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,19,1,0.125,0.8125,0.03125,1,1,1,0.1875,0,0,0,0,0,1,1,0,3.576617644908665,0.3157894736842105,0.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,25,1,0.1,0.85,0.025,1,1,1,0.15,0,0,0,0,0,1,1,0,3.5132696895151074,0.36,0.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
46,19,0,0.043478260869565216,0.6304347826086957,0.021739130434782608,1,1,1,0.15217391304347827,0,0,0,1,0,1,2,0,3.616348566075164,0.21052631578947367,0.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
109,20,1,0.027522935779816515,0.6697247706422018,0.009174311926605505,1,0,1,0.11926605504587157,0,0,0,1,0,2,7,0,3.721928094887362,0.25,0.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
40,20,1,0.1,0.75,0.025,1,1,1,0.175,0,0,0,1,0,1,2,0,3.5841837197791886,0.35,0.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53,29,1,0.07547169811320754,0.8301886792452831,0.03773584905660377,1,1,1,0.16981132075471697,0,0,0,0,0,2,2,0,3.788341339656749,0.3103448275862069,0.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
44,10,0,0.045454545454545456,0.8181818181818182,0.045454545454545456,0,1,1,0.1590909090909091,0,0,0,0,1,1,2,0,3.321928094887362,0.3,0.0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
37,20,1,0.05405405405405406,0.8378378378378378,0.02702702702702703,0,0,1,0.16216216216216217,0,0,0,0,0,0,2,0,3.4464393446710155,0.4,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,38,1,0.07142857142857142,0.8392857142857143,0.017857142857142856,1,1,1,0.125,0,0,0,2,0,2,1,0,3.8854423157904967,0.39473684210526316,0.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
46,18,1,0.08695652173913043,0.8260869565217391,0.021739130434782608,1,1,1,0.15217391304347827,0,0,0,1,0,1,2,0,3.5724312513221195,0.2222222222222222,0.0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
70,16,1,0.04285714285714286,0.7285714285714285,0.014285714285714285,1,1,1,0.12857142857142856,0,0,0,0,0,1,4,0,3.327819531114783,0.375,0.0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
185,17,1,0.021621621621621623,0.6864864864864865,0.05945945945945946,0,0,1,0.10270270270270271,0,0,0,1,3,6,2,146,3.6168746059562227,0.35294117647058826,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
76,28,0,0.11842105263157894,0.5394736842105263,0.02631578947368421,2,1,1,0.13157894736842105,0,0,0,1,0,3,2,0,3.7979026896829464,0.2857142857142857,0.07142857142857142,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
46,21,0,0.10869565217391304,0.8478260869565217,0.021739130434782608,1,1,1,0.15217391304347827,0,0,0,0,0,1,2,0,3.784941827437642,0.23809523809523808,0.0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,25,0,0.10638297872340426,0.8085106382978723,0.02127659574468085,1,1,1,0.1702127659574468,0,0,0,1,0,1,3,0,3.603856189774724,0.36,0.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,15,1,0.17857142857142858,0.75,0.03571428571428571,1,1,0,0.25,0,0,0,0,0,1,2,0,3.056564762130954,0.26666666666666666,0.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
59,19,1,0.06779661016949153,0.847457627118644,0.03389830508474576,1,1,1,0.13559322033898305,0,0,0,0,1,2,2,0,3.5766176449086653,0.2631578947368421,0.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
67,59,1,0.05970149253731343,0.7313432835820896,0.014925373134328358,3,0,1,0.11940298507462686,0,1,0,2,0,3,1,0,4.592152108897135,0.11864406779661017,0.13559322033898305,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,20,0,0.09523809523809523,0.7857142857142857,0.023809523809523808,2,1,0,0.19047619047619047,0,0,0,1,0,2,2,0,3.4086949695628417,0.3,0.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,6,0,0.09090909090909091,0.7272727272727273,0.045454545454545456,0,1,0,0.22727272727272727,0,1,0,0,0,0,1,0,2.584962500721156,0.16666666666666666,0.0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
45,29,1,0.044444444444444446,0.8222222222222222,0.022222222222222223,1,1,0,0.13333333333333333,0,0,0,1,0,1,1,0,3.926272374139508,0.3103448275862069,0.0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
63,15,1,0.031746031746031744,0.8571428571428571,0.031746031746031744,1,1,0,0.12698412698412698,0,1,0,0,1,2,2,0,3.2402239289418513,0.26666666666666666,0.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
90,77,0,0.05555555555555555,0.5777777777777777,0.011111111111111112,2,0,1,0.08888888888888889,0,0,0,1,0,2,2,0,4.626813411151587,0.18181818181818182,0.37662337662337664,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
53,14,0,0.07547169811320754,0.7547169811320755,0.03773584905660377,1,1,1,0.1509433962264151,0,0,0,1,1,1,3,0,3.3248629576173574,0.07142857142857142,0.0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
59,12,0,0.05084745762711865,0.7966101694915254,0.01694915254237288,0,1,0,0.11864406779661017,0,0,0,5,0,0,3,0,3.2516291673878226,0.3333333333333333,0.0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
65,34,1,0.3230769230769231,0.6,0.015384615384615385,1,1,1,0.38461538461538464,0,0,0,1,0,19,2,0,4.0796786498829745,0.4117647058823529,0.0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
67,43,0,0.029850746268656716,0.8507462686567164,0.029850746268656716,3,0,1,0.13432835820895522,0,0,0,0,1,3,2,0,3.7889072673400817,0.3488372093023256,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,16,1,0.05063291139240506,0.8227848101265823,0.012658227848101266,2,1,1,0.11392405063291139,0,0,0,5,0,2,3,0,3.4056390622295662,0.3125,0.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
84,36,1,0.05952380952380952,0.4880952380952381,0.011904761904761904,2,1,1,0.10714285714285714,0,0,0,4,0,2,3,0,4.006749918638778,0.2222222222222222,0.2777777777777778,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
35,12,1,0.05714285714285714,0.7714285714285715,0.02857142857142857,0,0,1,0.2,0,0,0,1,0,1,2,0,2.751629167387823,0.4166666666666667,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,13,0,0.07692307692307693,0.6923076923076923,0.038461538461538464,1,1,0,0.3076923076923077,0,0,0,0,0,2,2,0,3.238901256602631,0.15384615384615385,0.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
52,27,0,0.057692307692307696,0.6346153846153846,0.057692307692307696,2,1,1,0.19230769230769232,0,0,0,1,0,2,2,11,3.9582291686698796,0.25925925925925924,0.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
24,5,0,0.08333333333333333,0.7083333333333334,0.041666666666666664,0,0,1,0.20833333333333334,0,0,0,0,0,0,1,0,2.321928094887362,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
